EmployeeId,Name,HireDate,Salary,Salutation,Gender
46,Alice Brown,7/9/2023,67691.47,Dr.,male
47,Jane Smith,5/9/2022,60476.87,Ms.,x
48,John Doe,11/2/2022,53572.34,Mx.,x
49,Jane Smith,7/20/2023,62303.57,Mr.,male
50,Jane Smith,8/5/2022,60604.46,Mr.,x
51,Alice Brown,11/13/2021,54698.15,Mr.,x
52,Bob Johnson,1/3/2023,52836.79,Mx.,x
53,Alice Brown,6/16/2023,66630.97,Mrs.,male
54,John Doe,9/13/2023,66696.02,Ms.,x
55,Chris Lee,12/17/2022,58995.64,Mx.,female
56,Bob Johnson,11/9/2021,63868.75,Mx.,male
57,Jane Smith,1/30/2022,59535.83,Dr.,male
58,Chris Lee,8/18/2023,66689.08,Ms.,x
59,Jane Smith,9/18/2021,67126.32,Mrs.,x
60,Bob Johnson,4/16/2023,52615.78,Mx.,female
61,Alice Brown,9/1/2021,68957.77,Ms.,male
62,Alice Brown,1/4/2022,64073.79,Mrs.,u
63,Bob Johnson,5/16/2022,57873.2,Mx.,u
64,Chris Lee,2/20/2023,64145.01,Dr.,u
65,Chris Lee,3/13/2022,58320.53,Ms.,x
66,Bob Johnson,10/27/2021,57258.24,Mrs.,x
67,Jane Smith,11/15/2021,66674.68,Mrs.,u
68,John Doe,11/15/2023,52183.92,Dr.,x
69,Alice Brown,4/2/2022,69945.14,Dr.,u
70,Jane Smith,10/10/2022,52968.87,Mrs.,u
71,Chris Lee,10/15/2023,62303.67,Dr.,female
72,Bob Johnson,10/14/2023,51607.45,Dr.,u
73,Alice Brown,11/11/2021,58881.04,Mrs.,male
74,Jane Smith,7/29/2021,54608.55,Ms.,female
75,Alice Brown,12/15/2021,52993.34,Ms.,male
76,Jane Smith,9/14/2021,63895.23,Mr.,male
77,John Doe,4/30/2022,69455.07,Mr.,x
78,Bob Johnson,12/2/2022,58285.91,Mr.,u
79,Jane Smith,3/18/2023,55894.45,Dr.,u
80,Bob Johnson,5/15/2022,66467.37,Dr.,u
81,Jane Smith,10/17/2021,65171.62,Mr.,x
82,Alice Brown,4/16/2022,60110.64,Mrs.,male
83,Jane Smith,6/28/2023,64727.05,Ms.,male
84,Alice Brown,7/17/2022,54774.46,Mr.,u
85,John Doe,8/1/2021,55280.36,Mr.,x
86,Jane Smith,7/16/2023,61559.68,Mrs.,female
87,Chris Lee,10/22/2023,50982.97,Ms.,u
88,Chris Lee,4/28/2023,69276.63,Ms.,male
89,Alice Brown,1/3/2022,62856.39,Mx.,u
90,Chris Lee,1/29/2022,68012.03,Mrs.,x
91,Jane Smith,12/30/2023,57054.42,Ms.,x
92,Bob Johnson,10/23/2022,64095.08,Ms.,male
93,John Doe,10/12/2023,54309.97,Mx.,x
94,Jane Smith,5/31/2023,68928.74,Ms.,x
95,Chris Lee,2/8/2022,57065.66,Mr.,male
96,John Doe,6/14/2022,50285.81,Mx.,female
97,Bob Johnson,9/19/2023,62044.68,Mx.,male
98,Alice Brown,5/3/2023,54670.24,Mrs.,female
99,Chris Lee,6/15/2022,68330.01,Mrs.,male
100,Alice Brown,12/19/2022,51414.94,Mx.,male
